,area,amount,name,year
651,住吉,3412239,個人特別徴収,2010
652,住之江,2148799,個人特別徴収,2010
653,東住吉,2262709,個人特別徴収,2010
654,北,3289694,個人普通徴収,2010
655,天王寺,2405033,個人普通徴収,2010
656,福島,1538807,個人普通徴収,2010
657,此花,1005282,個人普通徴収,2010
658,中央,3312001,個人普通徴収,2010
659,西,2389329,個人普通徴収,2010
660,港,1552095,個人普通徴収,2010
661,大正,1039494,個人普通徴収,2010
662,阿倍野,1482956,個人特別徴収,2010
663,都島,2213621,個人普通徴収,2010
664,鶴見,1103200,個人特別徴収,2010
665,浪速,1869505,個人特別徴収,2010
666,旭,3269610,個人特別徴収,2010
667,北,16632020,個人特別徴収,2010
668,都島,1704578,個人特別徴収,2010
669,福島,1940201,個人特別徴収,2010
670,此花,1232016,個人特別徴収,2010
671,中央,18516855,個人特別徴収,2010
672,西,6190968,個人特別徴収,2010
673,城東,1894070,個人特別徴収,2010
674,港,1525858,個人特別徴収,2010
675,天王寺,5115114,個人特別徴収,2010
676,西淀川,4020924,個人特別徴収,2010
677,淀川,8004019,個人特別徴収,2010
678,東淀川,1649437,個人特別徴収,2010
679,東成,1414107,個人特別徴収,2010
680,生野,1700690,個人特別徴収,2010
681,大正,1130445,個人特別徴収,2010
682,西淀川,1478467,個人普通徴収,2010
683,西,8580297,total,2010
684,東淀川,3215087,個人普通徴収,2010
685,浪速,3440596,total,2010
686,西淀川,5499391,total,2010
687,淀川,11537912,total,2010
688,東淀川,4864524,total,2010
689,東成,2902600,total,2010
690,生野,4186053,total,2010
691,旭,5066351,total,2010
692,城東,4756158,total,2010
693,鶴見,2893404,total,2010
694,阿倍野,4300538,total,2010
695,住之江,4056347,total,2010
696,住吉,6328816,total,2010
697,東住吉,4755989,total,2010
698,平野,5191378,total,2010
699,淀川,3533893,個人普通徴収,2010
700,天王寺,7520147,total,2010
701,大正,2169939,total,2010
702,西成,2706426,total,2010
703,東成,1488493,個人普通徴収,2010
704,生野,2485363,個人普通徴収,2010
705,旭,1796741,個人普通徴収,2010
706,城東,2862088,個人普通徴収,2010
707,鶴見,1790204,個人普通徴収,2010
708,港,3077953,total,2010
709,住之江,1907548,個人普通徴収,2010
710,住吉,2916577,個人普通徴収,2010
711,阿倍野,2817582,個人普通徴収,2010
712,平野,3284071,個人普通徴収,2010
713,西成,1512877,個人普通徴収,2010
714,北,19921714,total,2010
715,都島,3918199,total,2010
716,福島,3479008,total,2010
717,此花,2237298,total,2010
718,中央,21828856,total,2010
719,東住吉,2493280,個人普通徴収,2010
720,住之江,2087797,個人特別徴収,2011
721,住吉,3353456,個人特別徴収,2011
722,東住吉,2223107,個人特別徴収,2011
723,平野,1843687,個人特別徴収,2011
724,西成,1163691,個人特別徴収,2011
725,北,3330751,個人普通徴収,2011
726,都島,2145465,個人普通徴収,2011
727,浪速,1562561,個人普通徴収,2011
728,此花,964384,個人普通徴収,2011
729,中央,3280683,個人普通徴収,2011
730,西,2405649,個人普通徴収,2011
731,港,1517857,個人普通徴収,2011
732,大正,1007904,個人普通徴収,2011
733,天王寺,2423697,個人普通徴収,2011
734,阿倍野,1472454,個人特別徴収,2011
735,福島,1520710,個人普通徴収,2011
736,鶴見,1062396,個人特別徴収,2011
737,天王寺,5049053,個人特別徴収,2011
738,旭,3308963,個人特別徴収,2011
739,北,16544746,個人特別徴収,2011
740,都島,1649965,個人特別徴収,2011
741,福島,1896129,個人特別徴収,2011
742,此花,1107851,個人特別徴収,2011
743,中央,18196558,個人特別徴収,2011
744,西,6033953,個人特別徴収,2011
745,城東,1818798,個人特別徴収,2011
746,港,1484741,個人特別徴収,2011
747,浪速,1800605,個人特別徴収,2011
748,西淀川,3925709,個人特別徴収,2011
