,バス,乗用車総数,地域,大型特種,小型乗用車,小型二輪,小型特殊自動車,小型貨物,年度,普通乗用車,普通車貨物,特種用途車,自動車総数,被けん引貨物,貨物自動車総数,軽自動車,電気小型特殊自動車,電気小型自動車,電気自動車総数
157,122,30600,東淀川,0,17334,1791.0,162,3673,2007,13266,1095,899.0,50693,6,4774,12146,86.0,0.0,86.0
158,19,11402,福島,0,5965,510.0,1606,3174,2007,5437,943,470.0,22685,65,4182,4413,918.0,0.0,918.0
159,221,12195,此花,0,6740,578.0,204,2332,2007,5455,1909,1084.0,24079,323,4564,4931,50.0,0.0,50.0
160,37,27623,中央,0,15744,939.0,162,7825,2007,11879,568,460.0,44826,13,8406,7021,67.0,0.0,67.0
161,10,19869,西,0,10794,734.0,435,6755,2007,9075,1063,468.0,36103,288,8106,6223,145.0,5.0,150.0
162,19,16644,都島,0,8524,833.0,107,2331,2007,8120,621,388.0,26293,2,2954,5281,49.0,0.0,49.0
163,125,13816,大正,0,7569,584.0,190,2737,2007,6247,2505,814.0,28378,537,5779,6744,22.0,0.0,22.0
164,225,24810,北,0,13657,911.0,282,7403,2007,11153,1014,504.0,42813,67,8484,7437,88.0,3.0,91.0
165,13,9760,浪速,0,5009,475.0,243,2887,2007,4751,800,698.0,19755,17,3704,4667,57.0,3.0,60.0
166,76,21174,西淀川,0,11630,900.0,370,4256,2007,9544,2859,1165.0,38983,219,7334,7577,83.0,0.0,83.0
167,329,14182,港,0,7778,709.0,283,2702,2007,6404,2136,798.0,28895,594,5432,6241,82.0,0.0,82.0
168,54,14530,西成,101,7870,636.0,172,2486,2008,6660,1347,689.0,27315,46,3879,7254,28.0,0.0,28.0
169,166,41560,平野,112,23064,1468.0,494,5478,2008,18496,2151,992.0,71729,107,7736,19201,145.0,0.0,145.0
170,28,24835,東住吉,122,13305,1014.0,562,3096,2008,11530,1078,692.0,43338,30,4204,11881,298.0,2.0,300.0
171,119,26747,住吉,444,14615,1011.0,72,2003,2008,12132,536,320.0,41100,19,2558,9829,11.0,1.0,12.0
172,249,26585,住之江,857,14932,928.0,315,3564,2008,11653,4466,1753.0,51910,3205,11235,9988,181.0,1.0,182.0
173,17,17237,阿倍野,18,8224,739.0,73,1249,2008,9013,233,230.0,24743,2,1484,4945,8.0,0.0,8.0
174,32,22300,鶴見,166,12086,948.0,279,2650,2008,10214,1789,548.0,37878,48,4487,9118,41.0,0.0,41.0
175,131,28757,城東,216,15801,1603.0,274,3425,2008,12956,971,850.0,46708,18,4414,10463,91.0,0.0,91.0
176,40,15574,旭,50,8513,834.0,79,1674,2008,7061,394,300.0,24951,5,2073,6001,20.0,0.0,20.0
177,78,13788,東成,56,7354,609.0,329,2662,2008,6434,877,356.0,24624,25,3564,5844,114.0,0.0,114.0
178,72,22228,生野,96,12114,906.0,508,3250,2008,10114,809,561.0,39536,4,4063,11102,134.0,0.0,134.0
179,64,34695,淀川,41,19964,1516.0,237,6284,2008,14731,984,524.0,55600,18,7286,11237,87.0,0.0,87.0
180,115,29922,東淀川,199,16779,1703.0,150,3371,2008,13143,1124,787.0,49602,6,4501,12225,84.0,0.0,84.0
181,22,16331,都島,69,8275,815.0,103,2117,2008,8056,614,373.0,25865,0,2731,5421,47.0,0.0,47.0
182,21,11351,福島,82,5841,492.0,1594,3019,2008,5510,956,482.0,22484,58,4033,4429,930.0,0.0,930.0
183,232,11887,此花,311,6465,590.0,208,2250,2008,5422,1837,1053.0,23747,340,4427,5039,52.0,0.0,52.0
184,35,27488,中央,178,15450,938.0,151,7555,2008,12038,578,406.0,44427,13,8146,7085,63.0,0.0,63.0
185,208,24290,北,161,13109,885.0,275,7073,2008,11181,998,452.0,41784,66,8137,7376,89.0,3.0,92.0
186,300,13817,港,902,7439,694.0,284,2593,2008,6378,2294,745.0,28475,564,5451,6282,78.0,0.0,78.0
187,127,13516,大正,334,7326,563.0,193,2576,2008,6190,2551,747.0,27923,501,5628,6815,21.0,0.0,21.0
188,11,11346,天王寺,31,4951,438.0,120,1814,2008,6395,189,150.0,17766,0,2003,3667,42.0,0.0,42.0
189,15,9634,浪速,194,4928,428.0,238,2705,2008,4706,780,667.0,19370,19,3504,4690,59.0,3.0,62.0
190,10,19518,西,256,10494,724.0,423,6416,2008,9024,1037,435.0,35246,204,7657,6223,142.0,5.0,147.0
191,74,20634,西淀川,385,11199,898.0,368,4024,2008,9435,2881,1124.0,38285,242,7147,7655,88.0,0.0,88.0
192,56,14186,西成,100,7794,595.0,169,2447,2009,6392,1356,647.0,26826,48,3851,7222,27.0,0.0,27.0
193,166,40519,平野,113,22598,1471.0,497,5379,2009,17921,2109,1003.0,70705,105,7593,19343,153.0,0.0,153.0
194,130,26030,住吉,443,14236,980.0,67,1932,2009,11794,529,338.0,40351,20,2481,9882,10.0,1.0,11.0
195,219,25847,住之江,841,14518,933.0,300,3519,2009,11329,4504,1808.0,51180,3158,11181,10051,178.0,2.0,180.0
196,30,22012,鶴見,160,11863,961.0,283,2602,2009,10149,1760,554.0,37402,46,4408,8994,47.0,0.0,47.0
197,55,28459,城東,217,15468,1621.0,269,3298,2009,12991,967,787.0,46159,18,4283,10468,99.0,0.0,99.0
198,40,15188,旭,50,8279,798.0,75,1631,2009,6909,374,308.0,24556,6,2011,6086,19.0,0.0,19.0
199,70,21467,生野,91,11804,914.0,489,3100,2009,9663,803,551.0,38475,4,3907,10986,133.0,1.0,134.0
200,87,13496,東成,59,7250,615.0,319,2534,2009,6246,811,348.0,24132,24,3369,5839,112.0,0.0,112.0
201,115,29056,東淀川,197,16244,1687.0,140,3229,2009,12812,1104,767.0,48422,3,4336,12124,83.0,0.0,83.0
202,31,24147,東住吉,122,12950,1029.0,532,3045,2009,11197,1091,750.0,41592,35,4171,10810,290.0,4.0,294.0
203,77,20433,西淀川,387,11038,888.0,360,3942,2009,9395,2830,1088.0,37972,235,7007,7732,90.0,1.0,91.0
204,65,33910,淀川,41,19467,1560.0,227,6174,2009,14443,979,522.0,54700,19,7172,11203,86.0,9.0,95.0
205,222,23639,北,161,12711,847.0,274,6754,2009,10928,974,462.0,40684,63,7791,7288,86.0,4.0,90.0
206,23,15939,都島,69,8123,773.0,101,1996,2009,7816,574,381.0,25292,0,2570,5436,50.0,0.0,50.0
207,23,11242,福島,82,5739,492.0,1559,2869,2009,5503,923,487.0,22110,52,3844,4381,918.0,1.0,919.0
208,235,11569,此花,306,6280,614.0,243,2146,2009,5289,1905,1067.0,23560,353,4404,5122,75.0,3.0,78.0
209,17,17013,阿倍野,18,8061,712.0,68,1193,2009,8952,236,225.0,24390,2,1431,4906,7.0,0.0,7.0
210,13,19189,西,256,10225,697.0,424,6155,2009,8964,996,437.0,34591,205,7356,6219,151.0,9.0,160.0
211,311,13499,港,890,7180,680.0,293,2535,2009,6319,2200,747.0,28107,502,5237,6450,88.0,0.0,88.0
212,125,13144,大正,356,7161,551.0,197,2525,2009,5983,2449,718.0,27350,473,5447,6812,35.0,2.0,37.0
213,12,11161,天王寺,31,4776,422.0,114,1723,2009,6385,188,158.0,17438,1,1912,3628,40.0,2.0,42.0
214,14,9208,浪速,185,4740,410.0,235,2612,2009,4468,764,662.0,18660,14,3390,4556,66.0,2.0,68.0
215,35,27165,中央,222,15097,943.0,149,7230,2009,12068,551,543.0,44051,14,7795,7199,61.0,11.0,72.0
216,36,23821,東住吉,122,12637,1031.0,524,2958,2010,11184,1037,738.0,41092,42,4037,10783,285.0,4.0,289.0
217,129,25632,住吉,442,13874,982.0,67,1904,2010,11758,508,340.0,39877,17,2429,9856,10.0,1.0,11.0
218,195,25263,住之江,821,14036,926.0,299,3524,2010,11227,4659,1823.0,50786,3239,11422,10037,178.0,2.0,180.0
219,16,16883,阿倍野,18,7931,708.0,68,1125,2010,8952,240,223.0,24179,1,1366,4897,7.0,0.0,7.0
